Organ Transplantation Center Service Type Description,OTC Code,Organ Transplantation Center Type,OTC Name,OTC Address,OTC City,ZIP Code,Organ Transplantation Center Telephone Number,Organ Transplantation Center URL,Organ Procurement Organization Provider Number,Organ Procurement Organization Name,Organ Procurement Organization Address,Organ Procurement Organization City,Organ Procurement Organization State Abbreviation,Organ Procurement Organization State Name,Organ Procurement Organization Postal Code,Organ Procurement Organization Telephone Number,Organ Procurement Organization URL,State and County Federal Information Processing Standard Code,County or County Equivalent Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State Abbreviation,U.S. - Mexico Border County Indicator,U.S. - Mexico Border 100 Kilometer Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,OTC Service List,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Common Region Code,Common Region Name,Common State Name,Common State Abbreviation,Common State FIPS Code,Common State County FIPS Code,Common County Name,Common City Name with State Abbreviation,Common Congressional District Name,Common Congress Number Text,Common State FIPS Code Congressional District Number,Common Postal Code,Organ Transplantation Center Program URL
Heart,ARBH,TX1,Baptist Medical Center,I-630 E,Little Rock,72205,501-202-1500,https://www.baptist-health.com/location/baptist-health-transplant-institute,04P001,Arkansas Regional Organ Recovery Agency,1701 Aldersgate Rd Ste 4,Little Rock,AR,Arkansas,72205-6675,501-907-9150,http://www.arora.org,5119,119,Pulaski County,Pulaski,County            ,6,Region VI,5,Arkansas,AR,N,N,10/25/18,10/25/18, Heart,-92.34247903,34.74498276,6,Region VI,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72205,https://www.srtr.org/transplant-centers/baptist-medical-center-arbh/
Kidney,ARCH,TX1,Arkansas Children's Hospital,800 Marshall St,Little Rock,72202,501-364-1100,http://www.archildrens.org/,04P001,Arkansas Regional Organ Recovery Agency,1701 Aldersgate Rd Ste 4,Little Rock,AR,Arkansas,72205-6675,501-907-9150,http://www.arora.org,5119,119,Pulaski County,Pulaski,County            ,6,Region VI,5,Arkansas,AR,N,N,10/25/18,10/25/18," Heart, Kidney",-92.29152689,34.74345911,6,Region VI,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72202,https://www.srtr.org/transplant-centers/arkansas-childrens-hospital-arch/
Heart,ARCH,TX1,Arkansas Children's Hospital,800 Marshall St,Little Rock,72202,501-364-1100,http://www.archildrens.org/,04P001,Arkansas Regional Organ Recovery Agency,1701 Aldersgate Rd Ste 4,Little Rock,AR,Arkansas,72205-6675,501-907-9150,http://www.arora.org,5119,119,Pulaski County,Pulaski,County            ,6,Region VI,5,Arkansas,AR,N,N,10/25/18,10/25/18," Heart, Kidney",-92.29152689,34.74345911,6,Region VI,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72202,https://www.srtr.org/transplant-centers/arkansas-childrens-hospital-arch/
Kidney,ARUA,TX1,UAMS Medical Center,4301 W Markham St,Little Rock,72205,501-686-7000,http://www.uams.edu,04P001,Arkansas Regional Organ Recovery Agency,1701 Aldersgate Rd Ste 4,Little Rock,AR,Arkansas,72205-6675,501-907-9150,http://www.arora.org,5119,119,Pulaski County,Pulaski,County            ,6,Region VI,5,Arkansas,AR,N,N,10/25/18,10/25/18," Kidney, Liver",-92.32074491,34.75148943,6,Region VI,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72205,https://www.srtr.org/transplant-centers/uams-medical-center-arua/
Liver,ARUA,TX1,UAMS Medical Center,4301 W Markham St,Little Rock,72205,501-686-7000,http://www.uams.edu,04P001,Arkansas Regional Organ Recovery Agency,1701 Aldersgate Rd Ste 4,Little Rock,AR,Arkansas,72205-6675,501-907-9150,http://www.arora.org,5119,119,Pulaski County,Pulaski,County            ,6,Region VI,5,Arkansas,AR,N,N,10/25/18,10/25/18," Kidney, Liver",-92.32074491,34.75148943,6,Region VI,Arkansas,AR,5,5119,"Pulaski County, AR","Little Rock, AR",Arkansas District 02,115,502,72205,https://www.srtr.org/transplant-centers/uams-medical-center-arua/
Kidney,AZCH,TX1,Phoenix Children's Hospital,1919 E Thomas Rd,Phoenix,85016,602-933-1000,http://www.phoenixchildrens.com/,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Heart, Kidney, Liver",-112.040433,33.48022652,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85016,https://www.srtr.org/transplant-centers/phoenix-childrens-hospital-azch/
Liver,AZCH,TX1,Phoenix Children's Hospital,1919 E Thomas Rd,Phoenix,85016,602-933-1000,http://www.phoenixchildrens.com/,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Heart, Kidney, Liver",-112.040433,33.48022652,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85016,https://www.srtr.org/transplant-centers/phoenix-childrens-hospital-azch/
Heart,AZCH,TX1,Phoenix Children's Hospital,1919 E Thomas Rd,Phoenix,85016,602-933-1000,http://www.phoenixchildrens.com/,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Heart, Kidney, Liver",-112.040433,33.48022652,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85016,https://www.srtr.org/transplant-centers/phoenix-childrens-hospital-azch/
Kidney,AZGS,TX1,Banner-University Medical Center Phoenix,1441 N 12th St,Phoenix,85006,602-521-5831,https://www.bannerhealth.com/,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Kidney, Liver, Pancreas",-112.056349,33.46403138,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85006,https://www.srtr.org/transplant-centers/banner-university-medical-center-phoenix-azgs/
Pancreas,AZGS,TX1,Banner-University Medical Center Phoenix,1441 N 12th St,Phoenix,85006,602-521-5831,https://www.bannerhealth.com/,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Kidney, Liver, Pancreas",-112.056349,33.46403138,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85006,https://www.srtr.org/transplant-centers/banner-university-medical-center-phoenix-azgs/
Liver,AZGS,TX1,Banner-University Medical Center Phoenix,1441 N 12th St,Phoenix,85006,602-521-5831,https://www.bannerhealth.com/,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Kidney, Liver, Pancreas",-112.056349,33.46403138,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85006,https://www.srtr.org/transplant-centers/banner-university-medical-center-phoenix-azgs/
Kidney,AZMC,TX1,Mayo Clinic Hospital,5777 E Mayo Blvd,Phoenix,85054,480-515-6296,http://www.mayoclinic.org/transplantmedicine-sct/index.html,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Pancreas, Vascularized Composite Allograft (VCA)",-111.9543636,33.66279924,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 06,115,406,85054,https://www.srtr.org/transplant-centers/mayo-clinic-hospital-azmc/
Pancreas,AZMC,TX1,Mayo Clinic Hospital,5777 E Mayo Blvd,Phoenix,85054,480-515-6296,http://www.mayoclinic.org/transplantmedicine-sct/index.html,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Pancreas, Vascularized Composite Allograft (VCA)",-111.9543636,33.66279924,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 06,115,406,85054,https://www.srtr.org/transplant-centers/mayo-clinic-hospital-azmc/
Liver,AZMC,TX1,Mayo Clinic Hospital,5777 E Mayo Blvd,Phoenix,85054,480-515-6296,http://www.mayoclinic.org/transplantmedicine-sct/index.html,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Pancreas, Vascularized Composite Allograft (VCA)",-111.9543636,33.66279924,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 06,115,406,85054,https://www.srtr.org/transplant-centers/mayo-clinic-hospital-azmc/
Heart,AZMC,TX1,Mayo Clinic Hospital,5777 E Mayo Blvd,Phoenix,85054,480-515-6296,http://www.mayoclinic.org/transplantmedicine-sct/index.html,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Pancreas, Vascularized Composite Allograft (VCA)",-111.9543636,33.66279924,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 06,115,406,85054,https://www.srtr.org/transplant-centers/mayo-clinic-hospital-azmc/
Vascularized Composite Allograft (VCA),AZMC,TX1,Mayo Clinic Hospital,5777 E Mayo Blvd,Phoenix,85054,480-515-6296,http://www.mayoclinic.org/transplantmedicine-sct/index.html,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Heart, Kidney, Liver, Pancreas, Vascularized Composite Allograft (VCA)",-111.9543636,33.66279924,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 06,115,406,85054,https://www.srtr.org/transplant-centers/mayo-clinic-hospital-azmc/
Kidney,AZSJ,TX1,St. Joseph's Hospital and Medical Center,350 W Thomas Rd,Phoenix,85013,602-406-3000,http://www.stjosephs-phx.org,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Kidney, Liver, Lung",-112.0798099,33.48038354,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85013,https://www.srtr.org/transplant-centers/st-josephs-hospital-and-medical-center-azsj/
Liver,AZSJ,TX1,St. Joseph's Hospital and Medical Center,350 W Thomas Rd,Phoenix,85013,602-406-3000,http://www.stjosephs-phx.org,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Kidney, Liver, Lung",-112.0798099,33.48038354,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85013,https://www.srtr.org/transplant-centers/st-josephs-hospital-and-medical-center-azsj/
Lung,AZSJ,TX1,St. Joseph's Hospital and Medical Center,350 W Thomas Rd,Phoenix,85013,602-406-3000,http://www.stjosephs-phx.org,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4013,13,Maricopa County,Maricopa,County            ,9,Region IX,4,Arizona,AZ,N,N,10/25/18,10/25/18," Kidney, Liver, Lung",-112.0798099,33.48038354,9,Region IX,Arizona,AZ,4,4013,"Maricopa County, AZ","Phoenix, AZ",Arizona District 07,115,407,85013,https://www.srtr.org/transplant-centers/st-josephs-hospital-and-medical-center-azsj/
Kidney,AZUA,TX1,Banner University Medical Center-Tucson,1501 N Campbell Ave,Tucson,85724,520-694-6000,http://www.uahealth.com,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4019,19,Pima County,Pima,County            ,9,Region IX,4,Arizona,AZ,Y,Y,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-110.944135,32.240799,9,Region IX,Arizona,AZ,4,4019,"Pima County, AZ","Tucson, AZ",Arizona District 03,115,403,85724,https://www.srtr.org/transplant-centers/banner-university-medical-center-tucson-azua/
Pancreas,AZUA,TX1,Banner University Medical Center-Tucson,1501 N Campbell Ave,Tucson,85724,520-694-6000,http://www.uahealth.com,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4019,19,Pima County,Pima,County            ,9,Region IX,4,Arizona,AZ,Y,Y,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-110.944135,32.240799,9,Region IX,Arizona,AZ,4,4019,"Pima County, AZ","Tucson, AZ",Arizona District 03,115,403,85724,https://www.srtr.org/transplant-centers/banner-university-medical-center-tucson-azua/
Liver,AZUA,TX1,Banner University Medical Center-Tucson,1501 N Campbell Ave,Tucson,85724,520-694-6000,http://www.uahealth.com,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4019,19,Pima County,Pima,County            ,9,Region IX,4,Arizona,AZ,Y,Y,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-110.944135,32.240799,9,Region IX,Arizona,AZ,4,4019,"Pima County, AZ","Tucson, AZ",Arizona District 03,115,403,85724,https://www.srtr.org/transplant-centers/banner-university-medical-center-tucson-azua/
Intestine,AZUA,TX1,Banner University Medical Center-Tucson,1501 N Campbell Ave,Tucson,85724,520-694-6000,http://www.uahealth.com,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4019,19,Pima County,Pima,County            ,9,Region IX,4,Arizona,AZ,Y,Y,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-110.944135,32.240799,9,Region IX,Arizona,AZ,4,4019,"Pima County, AZ","Tucson, AZ",Arizona District 03,115,403,85724,https://www.srtr.org/transplant-centers/banner-university-medical-center-tucson-azua/
Heart,AZUA,TX1,Banner University Medical Center-Tucson,1501 N Campbell Ave,Tucson,85724,520-694-6000,http://www.uahealth.com,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4019,19,Pima County,Pima,County            ,9,Region IX,4,Arizona,AZ,Y,Y,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-110.944135,32.240799,9,Region IX,Arizona,AZ,4,4019,"Pima County, AZ","Tucson, AZ",Arizona District 03,115,403,85724,https://www.srtr.org/transplant-centers/banner-university-medical-center-tucson-azua/
Lung,AZUA,TX1,Banner University Medical Center-Tucson,1501 N Campbell Ave,Tucson,85724,520-694-6000,http://www.uahealth.com,03P001,Donor Network of Arizona,201 W Coolidge St,Phoenix,AZ,Arizona,85013-2710,602-222-2200,http://www.dnaz.org,4019,19,Pima County,Pima,County            ,9,Region IX,4,Arizona,AZ,Y,Y,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas",-110.944135,32.240799,9,Region IX,Arizona,AZ,4,4019,"Pima County, AZ","Tucson, AZ",Arizona District 03,115,403,85724,https://www.srtr.org/transplant-centers/banner-university-medical-center-tucson-azua/
Kidney,CACH,TX1,Rady Children's Hospital and Health Center,3020 Childrens Way,San Diego,92123,858-576-1700,http://www.rchsd.org,05P001,Lifesharing - A Donate Life Organization,7436 Mission Valley Rd,San Diego,CA,California,92108-4406,619-543-7225,http://www.lifesharing.org,6073,73,San Diego County,San Diego,County            ,9,Region IX,6,California,CA,Y,Y,10/25/18,10/25/18," Heart, Kidney",-117.1507454,32.79636352,9,Region IX,California,CA,6,6073,"San Diego County, CA","San Diego, CA",California District 53,115,653,92123,https://www.srtr.org/transplant-centers/rady-childrens-hospital-and-health-center-cach/
Heart,CACH,TX1,Rady Children's Hospital and Health Center,3020 Childrens Way,San Diego,92123,858-576-1700,http://www.rchsd.org,05P001,Lifesharing - A Donate Life Organization,7436 Mission Valley Rd,San Diego,CA,California,92108-4406,619-543-7225,http://www.lifesharing.org,6073,73,San Diego County,San Diego,County            ,9,Region IX,6,California,CA,Y,Y,10/25/18,10/25/18," Heart, Kidney",-117.1507454,32.79636352,9,Region IX,California,CA,6,6073,"San Diego County, CA","San Diego, CA",California District 53,115,653,92123,https://www.srtr.org/transplant-centers/rady-childrens-hospital-and-health-center-cach/
Kidney,CACL,TX1,Childrens Hospital Los Angeles,4650 W Sunset Blvd,Los Angeles,90027,323-660-2450,http://www.chla.org,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Pancreas",-118.2906115,34.09807795,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 28,115,628,90027,https://www.srtr.org/transplant-centers/childrens-hospital-los-angeles-cacl/
Pancreas,CACL,TX1,Childrens Hospital Los Angeles,4650 W Sunset Blvd,Los Angeles,90027,323-660-2450,http://www.chla.org,05P003,OneLegacy,221 S Figueroa St Ste 500,Los Angeles,CA,California,90012-2526,213-229-5600,http://www.onelegacy.org,6037,37,Los Angeles County,Los Angeles,County            ,9,Region IX,6,California,CA,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Pancreas",-118.2906115,34.09807795,9,Region IX,California,CA,6,6037,"Los Angeles County, CA","Los Angeles, CA",California District 28,115,628,90027,https://www.srtr.org/transplant-centers/childrens-hospital-los-angeles-cacl/
